amount;category;country;date;description;industry;project_name;region
Fund Emerging Markets;;Agribusiness, Food & Water;USD 2.50 MLN;{'Who is our client': ' Malawi Mangoes sources bananas and mangoes from a blended supply chain comprising its own anchor famers and a significant smallholder program. The company processes this fruit into puree in a facility situated in Malawi and exports the resulting product to regional and international fruit drink manufacturers.', 'Funding objective': ' FMO, IFC, a member of the World Bank Group, and the Private Sector Window of the Global Agriculture and Food Security Program (GAFSP) will each invest US$5 mln in Malawi Mangoes. The organization plans to scale up operations and exports, creating more rural jobs and increasing opportunities for farmers to supply fruit to the company through its smallholder outreach and development programs. The total US$15 million financing package will fund capital investment plans, including an expanded nursery, a new 1,200 hectare plantation, installation of climate-smart drip irrigation technology across the new farm and nursery, expanded ripening chamber capacity and a second processing line at the processing facility.', 'Why we fund this project': ' The company plans to increase the number of employees fourfold over the next four years to about 2,600 full-time staff. During this time, it also plans to increase the number of farmers who supply fruit to the company to approximately 6,000. With this investment Malawi Mangoes can start benefiting from economies of scale and at the same time empower local people, thus having a tremendous positive impact on the local development in the Salami District of Malawi.'};6/26/2014;MALAWI MANGOES MAURITIUS LTD;Malawi
USD 10.00 MLN;C;Kyrgyzstan;8/29/2014;"{'Who is our client': "" Closed Joint Stock Company Bai Tushum Bank (BTB) was established as a non-profit microcredit agency in 2000, with a social mission to finance and service vulnerable groups. The company operates from 7 branches and 55 representative offices (outlets) across the country and received a full banking license in November 2012 - BTB was the first microfinance institution to receive a banking license in Kyrgyzstan. Their main shareholders are ACDI/VOCA and CARITAS, non-profit organizations that are dedicated to poverty alleviation and broad-based economic growth. The bank is headquartered in Bishkek, the capital, and their core business is to finance (M)SMEs, primarily involved in agricultural and trading activities, in rural and urban areas (38% of the borrowers are females). In addition, in a crowded and competitive banking environment like the one in Kyrgyzstan and despite the country's still difficult economic conditions, in May 2014 Bai Tushum became the first bank to receive the SMART Campaign certification."", 'Funding objective': "" BTB's mission is strongly aligned with FMO's own development strategy. The present transaction marks an entrance into a long-lasting relationship with BTB by providing them financing. FMO is currently providing a large amount of long-term financing that is not available in the local market."", 'Why we fund this project': "" BTB is not only a robust institution with a solid business model, it is also an institution focused on transparency, responsible pricing and ensuring that clients are treated in a fair and responsible manner. BTB aims to become a leading SME bank in Kyrgyzstan. FMO's funding is directed at the bank’s (M)SMEs activities, therefore supporting inclusive finance. Furthermore, by being able to on-lend US dollar loans, BTB will be able to better serve their US dollar-earning clients.""}";Financial Institutions;BAI TUSHUM BANK CJSC;Europe & Central Asia
FMO;;Energy;USD 4.04 MLN;"{'Who is our client': "" Zahrat Al-Salam for Energy Generation PSC is a company established for the development, construction and operations of a 10 megawatt (MW) solar photovoltaic (PV) power plant project, located in the Ma'an Governate, 218km south of Amman, in Jordan."", 'Funding objective': "" FMO's funds will be used for the construction of the 10 megawatt (MW) solar photovoltaic (PV) power plant. The project has an estimated cost of US$31 million. FMO is participating in a debt financing package mobilized by IFC with a senior loan of US$4.04 million. All output generated by the project will connect to a newly built substation in MDA and be sold to NEPCO under a 20-year Power Purchase Agreement (PPA). The project is part of the Government of Jordan’s Renewable Energy Program, which aims to increase renewable energy contribution to 10 percent of the country’s generation mix by 2020."", 'Why we fund this project': ' The project will generate over 26 GWh (at P50), meeting the growing demand for electricity in Jordan, serving approximately 12,000 customers annually based on a per capita consumption of 2,100 kWh. The output will serve to diversify the fuel mix for Jordan and provide for energy security by generating electricity from a domestic resource, while displacing thermal power, which has a marginal cost of approximately 30% above the tariff, helping to alleviate the losses borne by NEPCO. Finally, this this solar power plant will avoid emissions of approximately 14,307 tons of CO2 per annum.'}";10/02/2014;ZAHRAT AL-SALAM FOR ENERGY;Jordan
USD 2.00 MLN;B;Peru;11/28/2014;"{'Who is our client': "" Machu Picchu Foods SAC (MPF) is a cocoa originating, processing, and chocolate manufacturing company established in 2000 in Lima, Peru. As the company's operations have grown they have also moved into more value-added products such as cacao derivatives and chocolate processing. The company is now fully dedicated to the cacao segment, where it is a strong niche player with key strategic relationships locally and abroad. MPF has become the largest player in cocoa origination and an important player in chocolate production in Peru."", 'Funding objective': ' FMO provided a US$10 million senior loan to Machu Picchu Foods. These funds will be used for capex investment and working capital (US$8 million) and for the financing of farmers (US$2 million).', 'Why we fund this project': "" By financing approximately 10% of MPF's balance sheet and being the first international long-term debt provider, FMO plays an important role in the growth of the company. This investment also contributes to inclusive development in Peru by supporting the company's cocoa sourcing operations from smallholder farmers.""}";Agribusiness, Food & Water;MACHU PICCHU FOODS S.A.C;Latin America & The Caribbean
B;;1/15/2015;Access to Energy Fund;"{'Who is our client': ' Orb Energy Pte Ltd. is a Bangalore based company which designs, manufactures, distributes and sells solar devices for the off-grid energy market including solar lights, home systems and water heaters. Orb Energy was established in 2007 and has expanded to 150+ retail stores across Southern India.', 'Funding objective': "" The objective of FMO's equity investment is to finance 50% of the costs of Orb's role out of its business model in Kenya. Orb will be rolling out its franchised retail outlets across Kenya and will establish centralized distribution infrastructure. It will sell its full product lines of solar lanterns, solar home systems and solar water heaters to people in Kenya that lack full access to energy through the grid."", 'Why we fund this project': ' FMO funded this project as it provides an innovative solution in providing off-grid energy solutions to communities in Kenya, a country where 85% of people do not have access to electricity. Orb brings extensive expertise in combining its off-grid solar product lines with financing solutions from local banks and microfinance institutions, this approach is designed to overcome the common problem of high up-front costs preventing people from using and benefitting from off-grid solar devices.The project is funded from the Access to Energy Fund and fits its objective to increase access to sustainable energy in Africa.'}";USD 2.00 MLN;Orb Energy Pte.Ltd.;Energy
USD 13.50 MLN;A;Zambia;4/28/2015;"{'Who is our client': "" Handyman's Lime Limited and Astro Quarries Limited will become a the largest Zambian privately owned quicklime producer in Zambia."", 'Funding objective': ' The FMO financing is part of a US$30 mln debt facility arranged by DEG – Deutsche Investitions- und Entwicklungsgesellschaft mbH. The financing will be used for the completion and operation of a greenfield 600 tons per day (TPD) quicklime manufacturing plant, together with the development of an adjacent limestone quarry near Ndola, Zambia. The targeted markets for quicklime sales are mining companies in Zambia and the neighboring Democratic Republic of Congo, to be used for environmental waste management, water treatment, agricultural companies, and road construction and infrastructure development.', 'Why we fund this project': "" The financing contributes to FMO's strategy of supporting local private sector growth in Africa. The project will replace regional imports with locally produced high quality products and reinforce Zambia's export potential. Furthermore, the project will lead to approximately 80 direct and 100 indirect jobs. The involvement of the internationally experienced operation and maintenance services provider ThyssenKrupp is expected to lead to high technology, know-how transfer and training effects of the local staff.""}";Infrastructure, Manufacturing and Services;HANDYMAN'S LIME LIMITED;Africa
USD 7.22 MLN;B+;Bangladesh;07/08/2015;"{'Who is our client': ' Epyllion Knitwears Ltd. (EKWL) is a textile company focusing on cutting,sewing and producing T-shirts and is part of the Epyllion Group (EG), comprising 8 textile companies. EG was established in 1993 and is now one of the top tier vertically integrated garment manufacturing and exporting groups in Bangladesh. EG produces T-shirts, Polo shirts and Sweat shirts and employs 12.600 people. Its operations cover the whole value chain of the garment manufacturing process from knitting to dyeing, washing, sewing and packaging. The Group comprises three textile clusters: (i) garment cluster, where the knitting and sewing is carried out, (ii) textile cluster, where fabrics are produced and washed and (iii) an accessories cluster. The fabrics produced in the textile cluster and the accessories are sold to companies within the garment cluster.', 'Funding objective': "" The funds will be used to set up a new cutting, knitting and sewing factory, incorporating 50 lines, at a location 18 km outside Dhaka. The factory will be situated in an industrial belt, were a lot of other factories are being built, which attracts sufficient people looking for work. The project will increase the cutting and sewing capacity of the Group from 25 million to 43 million pieces per year. Currently, EG is focusing primarily on men's items. With the expansion, more value-added products such as women's and girl's items will be produced. These items generate higher margins and will also lead to a better customer diversification as much of the new products are expected to be sold to M&S, H&M, G-Star, Next and s'Oliver. These customers have requested EG to increase its capacity. The new factory takes into account their requirements."", 'Why we fund this project': ' The project involves an investment in the Ready Made Garment industry in Bangladesh, an important sector, contributing to 14% of GDP and 81% of export earnings. With this project, 5.920 direct jobs will be created, mostly for women, at the base of the pyramid. FMO believes that supporting best-in-class operators in Bangladesh such as EG will demonstrate that ethical, responsible and successful apparel players exist and are vital in ensuring change throughout the industry. The Dutch Embassy, which is very active in the Ready Made Garment sector in Bangladesh confirmed that EG is one of the best textile companies in the country with respect to E&S issues. Additionality is derived from providing long term scarce capital which is not available from commercial banks. With this investment, FMO will support a strong group with a healthy balance sheet and sustainable margins.'}";Infrastructure, Manufacturing and Services;EPYLLION KNITWEARS LIMITED;Asia
FMO;;Infrastructure, Manufacturing and Services;EUR 0.05 MLN;{'Who is our client': ' Mercator Novus B.V. is a consultancy firm that will execute a business opportunity scan for FMO and the Embassy of the Kingdom of the Netherlands (EKN) in Dhaka to support the development of the most suitable port developed by Dutch companies.', 'Funding objective': ' The scan will identify business and commercial opportunities and sketch a balanced process for port development. The results of the scan will support the process of developing the most suitable port for Bangladesh.', 'Why we fund this project': ' FMO translates the Aid & Trade agenda of the Dutch government into concrete investment projects by setting up consortia with leading Dutch companies in emerging markets. In order to provide the Government of Bangladesh with a complete integrated solution on behalf of the open consortium, we deem it important to co-fund this project.'};10/06/2015;MERCATOR NOVUS B.V.;Bangladesh
MASSIF;;Financial Institutions;EUR 3.00 MLN;"{'Who is our client': ' ICS Total Leasing & Finance S.A. (TLF) was established in 2006 to provide financial leases to micro, small and medium-sized enterprises (MSMEs). The lease portfolio mainly consist of motor vehicles and equipment leasing. In 2010, in addition to leases, TLF started with lending to MSMEs. With only operating through one office (no other branches), TLF has a low cost structure. Besides being a lender, FMO is a 25 percent shareholder of the institution.', 'Funding objective': "" FMO has provided TLF with a senior secured loan of EUR 3 million and a tenor of 5 years. Thanks to TLF's outreach to the rural area and good market position, our loan will facilitate access to finance to local entrepreneurs whom otherwise would have little access to (long-term) financial services. This will enable the end-clients to develop their businesses and improve their livelihoods."", 'Why we fund this project': "" For institutions in Moldova, the poorest country in Europe, it is hard to find long-term funding.  With this loan, TLF will be able to continue its business and facilitate economic growth also outside the (larger) cities. This is in line with FMO's broader strategy to increase access to finance.""}";12/09/2015;ICS OCN TOTAL LEASING AND FINANCE S;Moldova, Republic of
USD 16.50 MLN;A;Congo, the Democratic Republic of the;12/21/2015;{'Who is our client': ' Plantations et Huileries du Congo SA (PHC) is a Congolese company which operates three long established palm oil plantations in the Democratic Republic of the Congo (DRC) close to the river Congo. PHC produces mainly crude palm oil and palm kernel oil which is all sold domestically in the DRC.', 'Funding objective': ' DEG, BIO, EAIF and FMO provide a long term loan facility in an amount of up to USD 49 million (DEG: USD 16.5 million, BIO: USD 11 million, EAIF: USD 5 million, FMO: USD 16.5 million). The funds of DEG, BIO, EAIF and FMO shall be used to finance investments into replanting, equipment, fertiliser and environmental and social governance.', 'Why we fund this project': ' The financing secures approximately 3,800 permanent and up to 4,000 seasonal jobs in a least developed and post-conflict country. PHC estimates that a total of 45,000 people directly benefit economically and socially from its activities. These positive effects are even more significant given that the DRC has an underemployment rate of 82 per cent and a poverty rate of 63 per cent. The project improves the access of the population in the DRC to staple foods including fats, oils, and basic hygiene products including soaps and detergents while displacing high cost imports. Furthermore, PHC contributes to economic diversification in remote and underdeveloped regions. PHC provides, and is in the process of further restoring and developing, extensive social infrastructure, including health facilities, employee housing, schools, water supplies and roads at each of its three plantation sites. PHC is committed to implementing IFC/World Bank standards for environmental and social sustainability and achieving certification by the Roundtable for Sustainable Palm Oil (RSPO).'};Agribusiness, Food & Water;PLANTATIONS ET HUILERIES DU CONGO S;Africa
;;05/11/2016;FMO;"{'Who is our client': ' The Global Banking Alliance for Women (GBA) is the leading international consortium of financial institutions and other organizations that aims to build women’s wealth worldwide. Alliance member institutions work in 135 countries to build innovative, comprehensive programs that provide women entrepreneurs with vital access to capital, markets, education and training.', 'Funding objective': ' The aim of this project is to support the capacity development of banks that wish to launch products that explicitly target women owned businesses. Furthermore, the aim is to increase the amount of peer-to-peer learning that takes place within the network that GBA has nurtured.', 'Why we fund this project': "" The project is highly aligned with FMO's aim to increase access to appropriate products that target female owned enterprises.""}";EUR 0.24 MLN;GLOBAL BANKING ALLIANCE FOR WOMEN;Infrastructure, Manufacturing and Services
EUR 0.40 MLN;;Indonesia;3/22/2019;{'Who is our client': ' Tidal Bridge B.V. is a Dutch company that designs and builds floating bridges equipped with tidal turbines which generate power. The turbines are powered by the ebb and flow of the tide.\u202f', 'Funding objective': ' Objective is to carry out an ESIA/AMDAL study for Palmerah Tidal Bridge, Larantuka, Indonesia to be financed from Project Development Facility. ESIA/AMDAL is a combination of the Indonesian environmental impact assessment process (AMDAL) and an environmental & social impact assessment (ESIA) according to IFC Performance Standards.', 'Why we fund this project': ' FMO NLB aims to support the Dutch company Tidal Bridge BV with the development of a bridge between the islands of Larantuka and Adonara in the region East Flores, Indonesia. A bridge will improve the standard of living and the self-sufficiency of the region, by providing easier access to markets, healthcare, education. In addition, the tidal turbines under the bridge will generate renewable energy.', 'Environmental and social rationale': ' FMO and Atradius DSB have classified the Project as a Category A project because it is located near a national designated protected area, called Flores Timur Marine Protected Area. Besides, the Project is a greenfield infrastructural undertaking and power plant. The ESIA process will be aligned with local EIA-procedures in Indonesia (AMDAL), for which the NTT Government, acting on behalf of the future Project Company, will be primarily responsible. The ESIA will also contain the necessary management and monitoring plans.  The scope of the ESIA, including specific social and environmental themes to consider, has been agreed between FMO and Tidal Bridge based on the findings of the joint 23 January 2019 field visit. Tidal Bridge B.V., the Contractor, is fully dedicated to developing the Project according to IFC Performance Standards.'};Energy;TIDAL BRIDGE BV;Asia
USD 10.00 MLN;B+;Paraguay;06/05/2019;{'Who is our client': ' Agrotec S.A. is a family owned business in Paraguay. The company provides agricultural inputs to farmers, cooperatives and grain collectors.', 'Funding objective': ' FMO’s funding will be used to provide a stable working capital base.', 'Why we fund this project': ' As one stop shop for farmers, Agrotec has a significant impact on farmers in Paraguay. By pre-financing the inputs, farmers gain access to credit. By providing technical assistance and developing new products, the production of farmers increases. This contributes to SDG 2: zero hunger.', 'Environmental and social rationale': ' B+ because of supply chain risks.  The following Performance Standards are applicable:  • PS 1 – Assessment and Management of Environmental and Social Risks and Impacts • PS 2 - Labor and working conditions • PS 3 - Resource Efficiency and Pollution Prevention • PS 4 – Community Health, Safety and Security • PS 6 – Biodiversity Conservation and Sustainable Management of Living Natural Resources Performance Standard 5 (Land Acquisition and Involuntary Resettlement), Performance Standard 7 (Indigenous People) and Performance Standard 8 (Cultural Heritage) do not apply because the client will not acquire land for expansion, there are no indigenous people or cultural heritage sites present in the area of influence of the client.'};Agribusiness, Food & Water;AGROTEC S.A.;Latin America & The Caribbean
FMO;;Financial Institutions;USD 40.00 MLN;"{'Who is our client': ' Banco Supervielle S.A. is a medium-sized Argentinian bank with total assets of approx. USD 3.7 bln, (market share 2.6%, private bank #9). The bank is part of Grupo Supervielle (“the Group”), a diversified financial holding with nation-wide presence in universal banking, consumer lending, wealth management and insurance.', 'Funding objective': ' Through the proposed financing, Supervielle will be able to provide longer tenor financing to SME clients, which support (formal) job creation and help develop the Argentine economy.', 'Why we fund this project': ' Aligned with our aim to contribute to local prosperity, FMO’s loan will be used for on-lending to SMEs, a segment that extensively lacks financing for working capital and investments. Supervielle has a strong presence in the SME segment and stands out for its customized value proposition and leadership position across various sub-segments that are important for the Argentine economy.', 'Environmental and social rationale': "" Based on the bank's portfolio composition, the project has been categorised as Category B in accordance with FMO’s Sustainability Policy. Banco Supervielle has an existing ESMS. Compliance with local regulation and with IFC PS framework for IFC PS triggered transactions will be required.""}";8/20/2019;BANCO SUPERVIELLE S.A.;Argentina
Development Accelera;;Infrastructure, Manufacturing and Services;EUR 0.62 MLN;{'Who is our client': ' Dutch Health BV is specialised in developing turnkey healthcare solutions, including the design, construction, equipping, training and maintenance of hospitals, healthcare centres and other health related infrastructures worldwide.', 'Funding objective': ' FMO/NL Business supports Dutch Health BV to fund the preparative work for the reconstruction and equipping of the Ruhengeri Referral Hospital which is the district hospital in the Musanze District in Rwanda.', 'Why we fund this project': ' The reconstruction and equipping will improve the healthcare standards in the region significantly, directly impacting the population in Musanze and surrounding districts. Therefore, the project has a high impact on SDG 3 - good health and well-being. The FMO contribution is additional.', 'Environmental and social rationale': ' As this project consists of a hospital rehabilitation project on existing hospital premises without any land acquisition or economic displacement, the E&S risk category is rated B. Key risks are i) contractor EHS management, and ii) operational EHS for the hospital activities. On both items, it has been agreed with Dutch Health that with FMO support, adequate risk management measures will be developed, ensuring compliance with IFC PS and the applicable EHS Guidelines.'};10/21/2019;DUTCH HEALTH BV;Rwanda
FMO;;Financial Institutions;INR 3500.00 MLN;"{'Who is our client': ' Magma Fincorp Limited (“Magma”) a Mumbai-based non-deposit taking non-banking finance company (NBFC), is registered with the Reserve Bank of India (RBI) as an Asset Finance Company. The Company started operations nearly three decades back and is listed on the Bombay Stock Exchange Limited and the National Stock Exchange in India. Magma a financial conglomerate offers a bouquet of financial products including commercial finance, agri finance, SME finance and mortgage finance and has a general insurance Joint Venture. Magma is focused on the rural and semi-urban sector with a widespread coverage and presence across 312 Branches', 'Funding objective': "" The facility will support the expansion of Magma's MSME loan portfolio as well as contribute to lengthening the maturity of the company's funding."", 'Why we fund this project': ' Providing funding to the company enables FMO to renew and further build on the longstanding partnership with the company. Magma is actively engaging with the MSME sector with a focus on the ‘underbanked’ segment, which matches well with FMO’s strategy to support the base of the pyramid. Through this transaction, FMO directly contributes to SDG 8 and 10.', 'Environmental and social rationale': "" This is an E&S C client. No exposure to activities on FMO's exclusion list or IFC-PS triggered transactions. Internally, Magma has adopted the Social & Environment Management System - Policy & Procedures Documents.""}";12/06/2019;MAGMA FINCORP LIMITED;India
Building Prospects;;Energy;USD 0.01 MLN;{'Who is our client': ' FMO’s investee company is a special purpose vehicle, Djibouti Wind Company Ltd, with the sole objective to operate Djibouti Wind LP (where FMO is also an investee) which is responsible for the construction and operation of a 60 MW windfarm in the Ghoubet area, near Lake Assal, Djibouti (the Project).', 'Funding objective': ' FMO’s funding will be used for the construction of the Project for a total amount of more than USD 100mln. FMO will invest ca. USD 25mln in the Project;;;
FMO;;Financial Institutions;EUR 40.00 MLN;{'Who is our client': ' The Eastern and Southern African Trade and Development Bank (TDB), previously PTA Bank, is a specialized African regional financial institution established in 1985 that provides short, medium and long-term financing across a wide set of sectors to both private and public-sector clients, on sustainable and commercial principles.', 'Funding objective': ' The Framework Facility is intended to be used to fund individual commercial transactions between Dutch exporters and local African importers.  TDB Bank will on-lend the funds to the local importers.', 'Why we fund this project': ' The rationale for establishing a Framework Agreement is that it provides FMO NL Business with the possibility to also execute smaller transactions in a cost effective and time efficient way as terms and documentation for the underlying Individual Transactions will be standardized upfront.', 'Environmental and social rationale': ' Overall, TDB is categorized as E&S FI-A, based on exposure to high risk sectors. These overall risks are assumed to be well mitigated as TDB has a strong commitment to E&S risk management and has included the IFC Performance Standards in their ESMS.   FMO and TDB have agreed on an efficient way to ensure sound E&S management under the framework agreement. For each underlying Individual Transaction TDB is to provide satisfactory E&S due diligence and monitor information to allow FMO to confirm the importer’s (ongoing) compliance with FMO’s E&S conditions.'};4/23/2020;EASTERN AND SOUTHERN AFRICAN TRADE;Africa
EUR 0.05 MLN;;Tanzania, United Republic of;07/07/2020;{'Who is our client': ' Health Access International (HAI) is an independent hospital and healthcare consultancy company. It aims to create affordable quality healthcare for everyone by helping to develop smart and effective healthcare infrastructure and processes.', 'Funding objective': ' The objective of this project is to extend the health care services of the Kinondoni Hospital in Dar es Salaam by partially converting a vacant 3-acre (including buildings facility) into a COVID-19 unit to offer isolation and specific care for patients.', 'Why we fund this project': ' FMO is funding this project as part of the Emergency Grant Facility, a support facility that was launched to help FMO’s clients and investees to battle the negative effects of COVID-19 on their business, staff and surrounding communities. The COVID-19 pandemic presents a huge challenge to Tanzania to meet current and potential capacity in the healthcare sector. The increase in corona cases and related social economic impact of the lockdown in the country require an immense effort (public and private sector) to weather the storm. Through this project, FMO supports directly the set-up of a COVID-19 unit, facilitated by its partner Health Access International, that can later be integrated into an existing project to build a new hospital.'};Infrastructure, Manufacturing and Services;HEALTH ACCESS INTERNATIONAL BV;Africa
FMO;;Financial Institutions;ZAR 559.58 MLN;"{'Who is our client': ' Sasfin Bank Ltd. is a commercial bank which specialises in asset backed lending to SMEs. It was established as a family-owned textile importer in 1951 and shifted towards providing trade finance in 1970. Sasfin obtained its banking license and registered as a commercial bank in 1999. Sasfin Bank is fully owned by Sasfin Holdings Limited which obtained a listing on the JSE in 1987. The Bank provides secured loans to SMEs in the form of office and capital equipment leases, trade finance, debtor finance and commercial property finance.', 'Funding objective': "" While FMO's mission is to empower entrepreneurs across the developing world, not everyone benefits equally from the processes that lead towards economic and social development. This is especially true for female, young and migrant entrepreneurs who are often at a detrimental position when it comes to accessing financial services to develop their businesses. The NASIRA guarantee seeks to address these inequalities by encouraging our partners to increase lending to these segments and contributing to inclusive development. COVID-19 affected businesses will also benefit from the NASIRA guarantee."", 'Why we fund this project': ' FMO chose Sasfin as it is is one of our key longstanding and trusted partners in South Africa. The bank’s SME drive, genuine focus on financial inclusion and innovative spirit made it a suitable candidate for this first NASIRA guarantee.', 'Environmental and social rationale': ' No significant E&S risks were identified in connection with the new transaction. Sasfin remains a category FI-B client with a well-functioning Environmental and Social Management System.'}";9/30/2020;SASFIN BANK LIMITED NASIRA PORTFOLI;South Africa
FMO;;Infrastructure, Manufacturing and Services;USD 7.72 MLN;{'Who is our client': ' The Central America Small Enterprises Investment Fund (CASEIF IV) aims to provide growth capital to small and medium companies (SMEs) in Central America, Panama, Dominican Republic and Colombia. CASEIF IV targets to raise USD 75m in commitments and will be managed by Lafise Investment Management (LIM), a fund management company resulting from a joint venture between NORFUND and LAFISE Group. This represents a continuing relationship for FMO, having committed to the predecessor fund managed by LIM, CASEIF III, in 2014.', 'Funding objective': ' LIM intends to promote development and fight poverty by enhancing sustainable growth of private sector businesses. The investment strategy of CASEIF IV will be in line with the successfully implemented strategy of CASEIF III. CASEIF IV will provide mainly mezzanine and to a smaller extent equity financing to a diversified portfolio of SMEs in Central America, Panama, Dominican Republic and Colombia. This geographical focus is in line with the presence of LAFISE Group’s local offices. While LIM targets a multi-sectoral portfolio, the key focus will be on sectors such as agroindustry, food and beverage processing where LIM has gained considerable expertise. CASEIF IV will target a portfolio of 10-12 investees with an average ticket size of USD 6m.', 'Why we fund this project': ' An investment in CASEIF IV aligns strongly with FMO’s strategy to deepen relationships with existing partners and contribute to improving access to finance for SMEs in the Central American region.', 'Environmental and social rationale': ' The E&S categorization of CASEIF IV is B based on the pipeline and on LIM’s strategy. LIM has demonstrated a proven commitment towards E&S, undertakes rigorous ESG due diligence on its investees and ensures risk mitigation through an action plan aligned with the IFC Environmental and Social Performance Standards.'};12/11/2020;CASEIF IV;Latin America & The Caribbean
