amount;category;country;date;description;industry;project_name;;;;
EUR 0.04 MLN;;Bangladesh;1/19/2018;{'Who is our client': ' ERM India is a leading advisor on E&S matters in the region.', 'Funding objective': ' ESROM 2.0 is  a 1,5-day training course (6 times) for banking staff of 9 participating banks (214 bankers will be trained) focused on E&S Management.', 'Why we fund this project': ' In anticipation that DFI funding to local FIs will continue to grow in the coming years, supporting the financial sector in Bangladesh beyond just providing finance is important. Building the appropriate E&S skills and knowledge enabling bankers to adequately tackle emerging E&S risks on the field and identify new business opportunities is crucial. The value of the training series is to create a platform where participants from the various banks can meet, learn from one another and are able to exchange and share their challenges on the field and how they have gone about in solving them.'};Financial Institutions;ERM INDIA PRIVATE LIMITED;;;;
EUR 0.03 MLN;;Netherlands, the;1/29/2018;"{'Who is our client': ' Royal HaskoningDHV', 'Funding objective': "" FMO's EUR 25k grant is aimed at arriving at a developed contractors' offer (negotiated contract or through tender). This, in order to perform a study to assess the financial and operational feasibility, gaps and challenges of the extension of the current Banjul water supply system."", 'Why we fund this project': ' FMO funds this project to ensure availability and sustainable management of water and sanitation for all. Next to that, the project is aimed at preventing water losses, increasing available water and a guaranteed (with recurrence failure frequency) water supply capacity.', 'Environmental and social rationale': ' With our development capital and our involvement we ensure proper environmental, health & safety management during construction and operation. Specific elements taken into account are: affordability, water sourcing (water availability), right of way / land acquisition issues, environmental, health & safety management during construction and operation, need of matching sanitation. E&S risk category for this project is: B+. Applicable IFC PS: 1 (assessment and management), 2 (labor conditions), 3 (pollution and resource management), 4 (community health & safety), 5 (land acquisition and resettlement). Potentially applicable: IFC PS 6 (biodiversity). IFC PS 7 (indigenous peoples) and 8 (cultural heritage) are not expected to be triggered due to the urban location of the project. All of this will be further assessed during the project development stage.'}";Infrastructure, Manufacturing and Services;HASKONINGDHV NEDERLAND B.V.;;;;
USD 17.50 MLN;;Myanmar;02/06/2018;{'Who is our client': ' Meeyatha Development Ltd. will develop the Yoma Central Project, located in Yangon. The project will consist of a mix-use complex comprised by two office towers, a retail podium, a residential tower, a Westin-managed hotel and serviced apartment building. Also located on the same site, is the 136-year old former headquarters of the British Burma Railway Company, which will be restored to preserve its cultural heritage value and house a Peninsula hotel (not part of the Project).', 'Funding objective': ' The funding objective is to finance the construction of the mix-use complex (“Yoma Central”) located in the nascent central business district of Yangon.', 'Why we fund this project': ' The Project will add much needed supply of international standard office, retail and hospitality infrastructure to Yangon. The Project will create numerous new jobs during construction phase as well as after commissioning (hotel) and upgrade construction skills. In addition, there will be backward linkages to the local economy. Finally, the project was classified as green by FMO, where green technologies will be applied resulting in more than 20% energy savings.', 'Environmental and social rationale': ' E&S categorization is B+. IFC Performance Standards 1-5 and 8 are triggered.   PS 1 – Assessment and Management of Environmental and Social Risks and Impacts PS 2 - Labor and working conditions PS 3 - Resource Efficiency and Pollution Prevention PS 4 – Community Health, Safety and Security PS 5 – Land Acquisition and Involuntary Resettlement PS 8 – Cultural Heritage  IFC PS 6 and 7 are not expected to be triggered given the nature of the project and its location in the heart of Yangon.  The project will generate more than 20% in energy savings, being classified as green under FMO and IFC specific criteria. The project will also contribute to the social and economic development of the central business district of Yangon.'};Infrastructure, Manufacturing and Services;MEEYATHA DEVELOPMENT LIMITED;;;;
USD 0.50 MLN;;Jordan;2/21/2018;"{'Who is our client': ' Liwwa Inc. (“Liwwa”) is a FinTech start-up that operates a crowdfunding platform to provide trade finance to un(der)served small businesses. Liwwa started operation in March 2015 and targets a serviceable market of ~45.5k businesses in Jordan. MSMEs benefit from an online loan application process and marketplace function, while retail investors can crowdfund ‘campaigns’ based on the credit assessment, loan structuring and pricing determined by Liwwa. Liwwa operates a hybrid model: 3 local banks and Liwwa fund campaigns alongside retail investors. Liwwa aims to scale the business in Jordan, a.o. by expanding the acquisition strategy and sales team, and looks to replicate the business in Egypt.', 'Funding objective': "" FMO's USD 500,000 convertible loan, with an option to convert to equity, will be used to invest in technology, fuel growth in Jordan and replicate Liwwa in Egypt."", 'Why we fund this project': ' Liwwa has an unique brand in Jordan and strong competitive advantages that allow replicating the platform in the MENA region (i.e. excellent customer experience, technology-driven loan process and Sharia compliant loan product). Furthermore, there is a clear defined client segment and proof of demand: Jordanian small businesses are un(der)served, but sophisticated enough for an automated loan process and sizable enough to scale the business. Thirdly, Liwwa has a strong management team that allows for innovation and learning, while executing on organizational development. Co-founder and CEO Ahmed Moore has built strong relations in the Jordan banking and business community. Finally, the client received early-stage investments by reputable, local VC funds with MENA footprint, which signals confidence in the Liwwa’s business model and management team.', 'Environmental and social rationale': ' Liwwa is categorized as an E&S C-risk. It has no exposure to high risk E&S sectors'}";Financial Institutions;LIWWA INC;;;;
USD 34.29 MLN;;Argentina;2/23/2018;{'Who is our client': ' FMO’s client is Cordillera Solar I S.A., the project company for a green-field solar power plant. Estimated total project costs are USD 125 million. The project is being developed by Jinko Solar.', 'Funding objective': ' The objective of FMO’s financing is to fund the development, construction, and operations of an 80MWac/93.3MWp solar PV power plant, which will be located near Las Flores, Departmento de Iglesia, Province of San Juan in Argentina (the “Project”).', 'Why we fund this project': ' FMO potentially funds this project as a development bank that wants to be part of the innovative renewable energy programme that Argentina is implementing. The Argentinian energy matrix consists largely (87%) out of fossil fuels and this 93.3 MWp solar PV power plant will provide clean and reliable energy while contributing to the country’s objective to increase the renewable energy generation portion to 20% by 2025.', 'Environmental and social rationale': ' This is a category B+ project with potential limited adverse social and environmental (E&S) risk and / or impacts that are few in number, generally site-specific, largely reversible and readily addressed through mitigation measures.   While this project has been screened against all Performance Standards, FMO’s E&S due diligence indicates that the investment will have impacts which must be managed in a manner consistent with the following Performance Standards: PS 1 - Assessment and Management of Environmental and Social Risks and Impacts PS 2 - Labor and Working Conditions PS 3 - Resource Efficiency and Pollution Prevention PS 4 - Community Health, Safety and Security PS 8 – Cultural Heritage – small artefacts were found in small portions of the transmission line. Mitigation measures including a chance finds procedure will be included to minimize the impact/footprint on the area . The following performance standards do not apply to this project: PS 6 - Biodiversity Conservation and Sustainable Management of Living Natural Resources – Project is located in the Monte desert region with very poor, sandy or rocky soils. No endangered species of fauna and flora were encountered.  PS5 - Land Acquisition and Involuntary Settlement – For the project site, land was leased from one landowner with a vast expansion of land in the vicinity. For the T-line the project negotiated with an additional landowner adequate compensation for the use of land. The land is void of any land use and any structure.  PS7 - Indigenous Peoples - There is no record of presence of indigenous peoples in the direct or the indirect area of the project. This finding is based the Social study, site visit observations and interviews with social specialists and the Mayor of the community.  FMO will periodically review the project’s ongoing compliance with the Performance Standards.'};Energy;CORDILLERA SOLAR I S.A.;;;;
EUR 0.03 MLN;;Netherlands, the;2/26/2018;{'Who is our client': ' Stichting Nederlands Water Partnerschip', 'Funding objective': ' As apart as the partnership with stichting Nederlands Water Partnership (NWP), FMO will finance 25K of project development support as part of a larger package of activities in which the Colombian government are advised on how to develop a waterway (Canal del Dique). The funds are primarily used to review and advice on transaction structures and the financial modeling of the project.', 'Why we fund this project': ' The Dutch interest is large. The Interdepartmental Water Cluster (IWC) which is formed by three Ministries (Ministry of Economic Affairs, Ministry of Foreign Affairs and the Ministry of Transport, Public Works and Water Management)  and NWP are both already involved in this project. For the Dutch private sector various dredgers and BAM are interested in the project.'};Infrastructure, Manufacturing and Services;STICHTING NETHERLANDS WATER PARTNERSHIP;;;;
EUR 7.70 MLN;;Global;3/20/2018;{'Who is our client': ' Stichting Flying Swans', 'Funding objective': ' To provide multi annual funding to the Flying Swans Consortium, consisting of Mercator Novus BV, Boskalis NV and Port of Rotterdam NV. The consortium aims to develop agro logistical tool corridors in emerging markets. The funding will be used to identify and develop projects to become bankable projects in a number of identified countries. In the first scoping phase, Ethiopia and South Africa have been selected.', 'Why we fund this project': ' We fund this project to promote the export of fruit and vegetables of the identified country, create jobs, reduce Co2 emissions and food waste, by developing cold stores and moving cargo from trucks to cooled rail facilities.', 'Environmental and social rationale': ' With funding and our involvement, we ensure proper environmental, health & safety management during development and construction of the project. Specific elements taken into account are: land acquisition issues, environmental, health & safety management during construction, environmental and social issues in the agricultural value chain.'};Infrastructure, Manufacturing and Services;STICHTING FLYING SWANS;;;;
USD 8.08 MLN;;Nigeria;3/29/2018;{'Who is our client': ' Through Oreon EPI Limited we will invest in Emzor Pharmaceuticals. Emzor is the leading Nigerian producer of owned and generic brands of pharmaceutical products.', 'Funding objective': ' The proposed investment will help finance Emzor’s development of a state-of-the-art manufacturing complex to expand its operations.', 'Why we fund this project': ' FMO’s growth financing will unlock the growth potential of the company. Beyond employment and tax revenue generation, local production will make essential medicines more accessible to the general population. It will also help to decrease the import bill of the currently severely cash strapped Nigerian government. The proposed investment contributes to SDGs 1 (No Poverty), 3 (Good Health and Well-Being), 8 (Decent Work and Economic Growth), and 9 (Industrial Innovation and Infrastructure).', 'Environmental and social rationale': ' Categorized B+. FMO’s environmental and social due diligence indicates that the investment will have impacts which must be managed in a manner consistent with the following Performance Standards: - PS 1: Assessment and Management of Environmental and Social Risks and Impacts;;;;;;
USD 5.00 MLN;;Moldova, Republic of;04/10/2018;{'Who is our client': ' Trans-Oil Group is a leading vertically integrated farming, oilseed crushing, trading and transportation logistic provider with operations in Moldova and Ukraine. The company controls a unique distribution and export network in Moldova with extension to the Black Sea region and upstream to the Danube basin. More than 80% of the sales of the Company are exported via large international traders to EU, Turkey and Asia.', 'Funding objective': ' FMO intends to participate for up-to USD 5 million in a 1-year working capital facility with other international financial institutions. The funds will be used to fund the crop campaign of 2018 marketing season.', 'Why we fund this project': ' FMO intends to support farming in Moldova in general and an agribusiness player in the country by funding Trans-Oil Group’s seasonal working capital needs and help Moldova to earn hard currency. In this way, FMO will contribute to SDGs number1 (no poverty), 2(zero hunger), 8(decent work and economic growth).', 'Environmental and social rationale': ' Categorized B. FMO’s environmental and social due diligence indicates that the intended investment will have impact which must be managed in a manner consistent with the following Performance Standards: PS 1 – Assessment and Management of Environmental and Social Risks and Impacts;;;;;;
EUR 20.00 MLN;;Tunisia;11/29/2017;{'Who is our client': ' AfricInvest was founded in 1994 and is today among the leading private equity firms in North and Sub-Saharan Africa, with whom FMO has built a strong partnership through investments since the inception of the firm. AfricInvest relies on a team of 66 highly skilled investment professionals, operating out of nine offices in Algiers, Cairo, Casablanca, Abidjan, Lagos, Nairobi, London, and Paris. The Maghreb Private Equity Fund IV (“MPEF IV”), managed by Africinvest has received capital commitments in a rolling first close of EUR152m from 10 DFIs including FMO. The fund has a target size of EUR200-250m.', 'Funding objective': ' MPEF IV is a 10-year fund that will invest in small and medium enterprises (SMEs) and mid-cap companies in North Africa (including Algeria, Egypt, Morocco, and Tunisia), looking to take substantial minority stakes. The fund targets companies that are well-established in their local markets and that have the potential to scale up their activities at the regional level, in the Mediterranean basin and across the African continent. By investing in firms showing strong growth potential and with the ambition to expand regionally and internationally, MPEF IV will contribute to the creation of significant value within the companies and to the positive impact they have on their local communities. MPEF IV investments will endeavor to improve SME governance and increase foreign-exchange receipts, and at the same time, create new jobs, increase government tax revenues and more broadly foster regional economic integration. The fund will focus on several sectors, including IT and telecoms, FMCG, healthcare, education, logistics, agribusiness and a broad range of services (financial, business processing and others), with investments in the range of EUR6-25m being targeted.', 'Why we fund this project': ' This investment perfectly fits FMO’s strategy in terms of additionality, providing needed capital to a long-standing partner in North Africa, and regionally, continuing FMO’s focus on the Circle around Europe. This investment allows FMO to further contribute to the robust growth in the North African SME/Midcap space, whilst further contributing to several of FMO’s sustainable development goals. FMO’s commitment to MPEF IV further solidifies its relationship with Africinvest and contributes further to FMO’s ambition of being a preferred partner for growth in emerging markets.', 'Environmental and social rationale': ' From an E&S risk perspective, the Fund’s is categorized as category B based on the Fund’s pipeline. The fund manager has a well-developed, robust environmental & social management system in place.  The Fund develops ESG risk assessments and environmental & social action plans for all of its investees that are being tracked and annually reported to investors. MPEF IV will aim to promote environmental, social and governance best practices in its portfolio companies.'};Infrastructure, Manufacturing and Services;MAGHREB PRIVATE EQUITY FUND IV LLC;;;;
USD 21.00 MLN;;Cambodia;12/03/2017;{'Who is our client': ' Angkor Kasekam Roongreung Co. Ltd. (AKR) is one of the largest rice miller in Cambodia. The company gained a good reputation processing qualified fragrant rice “Neang Malis” which is marketed market both domestically and internationally. The company sources its paddy via a dedicated network of member-farmers. These farmers receive inputs and assistance which enables them to produce the high quality paddy.', 'Funding objective': ' The proposed funding will be used for AKR’s investment in a dryer and working capital for expanding its contract farming program for sourcing fragrant rice.', 'Why we fund this project': ' Long-term working capital funding is not available locally. In addition, the proposed project is inclusive and potentially green.', 'Environmental and social rationale': ' The proposed project is categorized as B+;;;" 8 Cultural heritage is not applicable as the factory is already established and the supply chain expansition will come from existing paddie fields and farming families.   Applicable are IFC Performance Standards, General IFC EHS Guidelines and IFC “Sector EHS Guidelines for Annual Crop Production” (2016).'}"",""Agribusiness, Food & Water"",ANGKOR KASEKAM ROONGREUNG CO. LTD.";;;
USD 10.00 MLN;;Armenia;12/04/2017;{'Who is our client': ' Electric Networks of Armenia CJSC is the client, established in Armenia as a closed joint stock company (ENA). ENA is the sole electricity distribution company in Armenia.', 'Funding objective': ' ENA has planned to invest USD 200 million during the period 2016-2020. The European Bank for Reconstruction and Development (EBRD) and the Asian Development Bank (ADB) were mandated and each will fund USD 80 million thereof. ENA will fund the remainder from its cash flows. The investment objective and rationale are as follows: (1) the reconstruction and modernization of ENAs existing substations and lines and replacement of outdated equipment;;;;;;
USD 8.00 MLN;;Afghanistan;12/11/2017;"{'Who is our client': ' The InFrontier Afghanistan Fund, the only private equity fund focused on Afghanistan achieved a second closing at over US$30m of which US$8m from FMO.  The investment comes from MASSIF, the financial inclusion fund that FMO manages on behalf of the Dutch government. Existing investors in the fund include CDC Group and the Dutch Good Growth Fund. The Fund, which is managed by the London and Kabul-based, InFrontier, invests in established businesses that have the potential to become market leaders in Afghanistan, focusing across multiple sectors and making long term investments.', 'Funding objective': "" FMO's funding will be used to invest in Afghan companies that have the potential to generate commercial returnswhilst supporting socioeconomic development in one of the world’s most challenging markets."", 'Why we fund this project': ' Through investing in the InFrontier Afghanistan FMO supports  the Fund to help empower entrepreneurs in this conflict affected part of the world which is of great importance to improve local prosperity.', 'Environmental and social rationale': ' The E&S category is B for Infrontier Afghanistan, in line with the risk profile of the prospective investment.  The pipeline in combination with the country risk entails E&S risks and opportunities related to the supply chain, general health and safety, environmental (waste) issues, wages and social conditions, and resource consumption/efficiency. The Fund Manager has established an E&S management system and ESG is integrated in the investment process.'}";Infrastructure, Manufacturing and Services;INFRONTIER AF LP;;;;
EUR 15.00 MLN;;Turkey;12/13/2017;"{'Who is our client': ' Taxim Capital is a Turkey focused mid-market private equity firm specializing in control-oriented growth capital investments and shareholder / management buy-outs.  Taxim Capital brings together 150 years of experience in private equity investments, investment banking, management consulting and operations with strong international backgrounds and very extensive domestic networks.', 'Funding objective': ' FMO contribution helps mobilize additional private sector investment in the fund as capital scarcity in the lower mid-market hampers growth and job creation in Turkey.', 'Why we fund this project': ' Significant job creation comes from this economic subsector, which reduces the drive for emigration. This is in line with FMO\'s ""Circle Around Europe"" policy.', 'Environmental and social rationale': ' From an E&S risk perspective, the Fund is categorized as category B based on itspipeline. The fund manager has a well-developed, robust environmental & social management system in place that allows to track and improve any E&S risk identified.'}";Infrastructure, Manufacturing and Services;TAXIM CAPITAL PARTNERS I LP;;;;
USD 15.00 MLN;;Indonesia;12/14/2017;{'Who is our client': ' Capsquare Asia Partners is a private equity firm specializing in buyout investments, headquartered in Jakarta, Indonesia. The firm invests in consumer driven segments such as consumer goods, retail, education and healthcare. Potential targets are companies active in the Southeast Asian region, especially Indonesia, within the lower middle-market space.', 'Funding objective': ' The Indonesian economy exhibits indicators of robustness with strong and stable GDP growth. There is high growth potential in the future as it is the 4th most populous country in the world with favourable consumption driven demographics and PE under penetration in the lower mid-cap market. This fits well with the strategy of Capsquare Asia Partners Fund II (“Fund II”);;;;;;
USD 15.00 MLN;;India;12/14/2017;{'Who is our client': ' FMO has committed USD 15 mln to Kaizen Private Equity Fund II, a Fund focused on the education sector of emerging South and South East Asia, targeting a size of USD 125 mln. The Fund will invest in education, defined as core education (e.g. K-12 schooling), parallel education (e.g. preschool, test preparation), and enabling (e.g. technologies, books, Edtech, transportation and student housing), in India, the Philippines, Vietnam, Thailand and the rest of S/SE Asia. Kaizen is the only specialized education fund manager in developing Asia.', 'Funding objective': ' The Fund will invest in equity and equity linked securities (e.g. convertible debt instruments) in growth and early-growth companies.  Investments are sourced through Kaizen’s network (regionally and globally) or through the education activities that are attended/organized by Kaizen.', 'Why we fund this project': ' FMO has invested in Kaizen Private Equity Fund II, as according to the World Bank, quality education is one of the strongest drivers of economic growth in developing countries. Education represents a major solution to reduce inequality among society members, and empower women’s’ positions, since it provides increased chances of getting a better job, increased individual earnings and financial independence. Additionally, better education means improved health, since people are better prepared to prevent diseases and use health services efficiently. Finally, education increases people’s cognition, which eventually leads to higher awareness regarding human rights and freedoms.', 'Environmental and social rationale': ' The E&S category is B for Kaizen Private Equity FUnd II, in line with the risk profile of the prospective investments in the education sector.  Kaizen therefore mainly focuses on health and safety issues, non-discrimination in personnel and hiring practices and good working conditions. The Fund’s ESG policy commits to the IFC Performance standards and country-specific laws.'};Infrastructure, Manufacturing and Services;KAIZEN PRIVATE EQUITY II PTE LTD;;;;
USD 31.00 MLN;;Jordan;12/14/2017;{'Who is our client': ' Baynouna Solar Energy Company PSC (“Project”) is our client, a company registered under the laws of Jordan. The Project is currently 100% owned by Masdar, a global renewable energy company established in 2006 by the government of Abu Dhabi, through its investment holding company Mubadala.', 'Funding objective': ' Our funding will be used to develop, construct and operate a 200MWac PV solar project in Jordan. The Project will be the largest PV solar project in the country to date providing significant economies of scale. Power offtake will be under a 20-year PPA by the National Electricity Power Company.', 'Why we fund this project': ' The Project fits FMO’s mandate and strategy as it is 100% green and is led by Sponsor Masdar with a strong renewable energy track record and has high developmental value, as it provides cheap, clean electricity in a country that suffered in the past from structural power deficits. The Project contributes to the following SDG’s: 7 Affordable and Clean Energy, 8 Decent Work and Economic Growth, 9 Industry, Innovation and Infrastructure, 11 Sustainable Cities and Communities and 13 Climate Action.', 'Environmental and social rationale': ' The Project has been categorized as B+. The investment will have impacts which must be managed in a manner consistent with the following Performance Standards: PS1 – Assessment and Management of Environmental and Social Risks and Impacts  PS2 – Labor and Working Conditions PS3 – Resource Efficiency and Pollution Prevention   FMO periodically reviews the Project’s ongoing compliance with the Performance Standards.   Issues related to PS4 – Community Health, Safety and Security;;;;;;
USD 9.59 MLN;;Argentina;12/14/2017;{'Who is our client': ' FMO’s client is Vientos Los Hercules S.A., the project company for a green-field wind power plant. Estimated total project costs are USD 236 million. The project is being developed by EREN Renewable Energy S.A. (“EREN”) and local developer Eolia Renovables S.A. (“Eoliasur”).', 'Funding objective': ' The objective of FMO’s financing is to fund the development, construction, and operations of a 97.2MW wind power plant, which will be located 35km west of Pico Truncado city in Argentina (the “Project”).', 'Why we fund this project': ' FMO potentially funds this project as a development bank that wants to be part of the innovative renewable energy programme that Argentina is implementing. The Argentinian energy matrix consists largely (87%) out of fossil fuels and this 97 MW wind farm will provide clean and reliable energy while contributing to the country’s objective to increase the renewable energy generation portion to 20% by 2025.', 'Environmental and social rationale': ' The Project is categorized as B+ reflecting working and labour conditions and health and safety risks to employees. The wind farm only has a limited E&S footprint in a largely unpopulated area. The main E&S risks result from the unclear biodiversity status of the project site. There is some potential presence of the protected bird Cauquen Colorado (Chloephaga rubidiceps), an endangered species in Argentina. Additional bird surveys during the migratory seasons will be conducted, mitigation measures might be needed.     FMO’s E&S DD indicates that the Project will have impacts consistent with the following IFC PSs:  PS 1 - Assessment and Management of Environmental and Social Risks and Impacts PS 2 - Labour and working conditions PS 3 - Resource Efficiency and Pollution Prevention PS 4 - Community Health, Safety and Security PS 6 - Biodiversity Conservation and Sustainable Management   The following PS are not seen by FMO as applicable to this project: PS5 - Land Acquisition and Involuntary Resettlement - Not applicable - the project will not lead to physical or economic displacement;;;;;;
USD 29.22 MLN;;Honduras;12/14/2017;"{'Who is our client': ' Pacific Solar Energy, S.A. de C.V. is the client, established in Honduras as a limited liability company (a.k.a. ""PSE""). PSE is a PV Solar project with two phases. Late 2016 the construction of Phase I with 25MWac was largely completed and this phase became fully operational in the 4th quarter of 2017. Phase I was funded by the Sponsor and as of late 2016 with senior debt from DEG - Deutsche Investitions- und Entwicklungsgesellschaft mBH, a development finance institution based in Germany. The construction of Phase II, with an additional 25MWac, will start soon and is expected to become operational by mid-2018. FMO provided senior and sub-senior debt to PSE in order to complete the funding of Phase II and have all phases operational before the end of 2018.', 'Funding objective': ' PSE’s investments and FMO’s debt funding do directly contribute to more sustainable electricity generation in Honduras, where long term demand still exceeds supply. This will reduce among others Honduras’ dependence upon imported fossil fuels.', 'Why we fund this project': ' Funding renewable energy projects like PSE is part of FMO’s core business. The total investment costs for both phases of PSE are over USD 123 million. FMO contributes approximately USD 42 million in senior loans (which includes amounts to be syndicated to some participants) and a smaller amount as sub-senior loan. FMO looks forward to working with participants under FMO’s senior loan, which will then be evidence of FMO’s ability to mobilize and catalyse funds from third parties.', 'Environmental and social rationale': ' The E&S category is B+, reflecting working and labour conditions and health and safety risks to employees and communities, mainly during construction";;;;;;
USD 30.00 MLN;;Ecuador;12/14/2017;"{'Who is our client': ' Bolivariano is a locally-owned Universal Bank with a strong regional presence in Guayaquil and the coastal region of Ecuador. The bank has a long track record (39 years of operations) and as of June 2017, it has TAs of USD 2,9 bln and ranks #6 in the sector, with a stable share of 8% TAs. The bank is focused on Corporate and SMEs segments (43.1% and 38.4% of total loans, respectively), with less relevant portfolios of loans to individuals (15.6%) and microfinance (2.9%).', 'Funding objective': ' Funds will be directed to SMEs', 'Why we fund this project': ' FMO will be highly additional by injecting long tenor financing to a bank in a sector with limited access to international funding, including long tenor financing. The bank provides short and long tenor financing to corporates and SMEs, with up to 8 years tenor. Since the bank’s funding is mostly short term (99% <1 year), FMO’s loan would improve the bank’s funding structure and allow to increase long tenor loans, currently financed mostly with equity. Partnering with Banco Bolivariano allows FMO to increase its reach in Ecuador, since the bank has a strong presence in Guayaquil and the coastal region of the country.', 'Environmental and social rationale': "" This facility has been categorised as Category C in accordance with FMO’s Sustainability Policy. The bank has a limited participation in high risk sectors (mainly fishing and food processing) and provides primarily working capital to its larger clients. Limited E&S risks are well mitigated by compliance with local regulation on environmental and social aspects and the bank's plan to develop an ESMS.""}";Financial Institutions;BANCO BOLIVARIANO C.A.;;;;
EUR 20.00 MLN;;Africa;12/14/2017;{'Who is our client': ' With the first close of the Africinvest Financial Sector Holding Fund (AFSH), we launched a new evergreen platform for investing in Tier II and III financial institutions in Africa. The first close included BIO (EUR 10 m) and FMO (EUR 20m, with a further EUR 10 m once additional commitments of EUR 70 m have been signed).   This fund will work under the name of FIVE. While FIVE is an abbreviation of Financial Inclusion Vehicle, it symbolically signals the ambition to increase the current financial inclusion in Africa fivefold (from 20% now to ideally 100%).', 'Funding objective': ' The fund will focus on Tier II and III financial institutions throughout Africa.', 'Why we fund this project': ' The fund is the successor of the Africinvest Financial Sector Limited (AFSL), that FMO (from Massif) and Africinvest launched in 2007. Among comparables, the track record of the team stands out, especially where it comes to the proven capacity to realise exits. The fund has been investing in Tier II and II financial institutions in challenging countries, that are typically well beyond FMO’s own reach. In many cases, the nature of the investment and the involvement of the fund manager has taken the form of a turnaround investment. Still the fund is showing a TVPI of 1.4x, with a gross IRR of 17%. The permanent structure of AFSH/FIVE is addressing bottlenecks of a typical closed end PE fund. Supervisors in Africa are increasingly wary about PE funds as shareholder in financial institutions. Moreover, the structure accommodates the strategy of a very hands on investor in these type of institutions. At the same time, we included – we believe- substantial room for liquidity for investors.', 'Environmental and social rationale': ' The fund will focus on insurance companies, microfinance institutions and Tier 2-3 banks, whose clients are SMEs and Retail, which are least likely to engage in socially and environmentally critical projects (eg. oil & gas, mining). Therefore, E&S risk is limited. In AFSL, the E&S team of Africinvest has to be involved at DD stage and provide its recommendations or conditions, usually consisting of the implementation of an ESMS.'};Financial Institutions;AFRICINVEST FINANCIAL INCLUSION VEH;;;;
USD 12.54 MLN;;Georgia;12/15/2017;{'Who is our client': ' Schulze Global has established Caucasus Clean Energy I (CCEF) for the purpose of investing in a diversified portfolio of small and medium-sized hydropower plants in the country of Georgia. CCEF is managed by Schulze Georgia Global, backed by Schulze Global Investments. The sponsor, based in Singapore, has USD200m Assets Under Management and additional offices in Ethiopia, Mongolia and Georgia, among others. FMO previously invested in the Schulze Ethiopia Growth and Transformation Fund.', 'Funding objective': ' The Fund’s strategy is to invest in approximately 10 small and medium-sized run-of-river hydropower plants in Georgia that each have an installed capacity of between approximately 10 MW and 20 MW, both operational and greenfield projects. The Fund seeks to provide not only capital, but also expertise in relation to these hydropower projects, building a shared vision and strategy together with the project developers for achieving both strong financial results and significant non-financial impact, particularly in respect of environmental and social impact.', 'Why we fund this project': ' This investment contributes to important goals of FMO, as the initiative seeks to fast-track the development of renewable energy projects in Georgia. The investment facilitates the development of the nascent private equity sector in Georgia, unlocking capital for otherwise underfunded renewable energy projects. Hereby, the Fund contributes to the energy needs of the fast-growing economy.', 'Environmental and social rationale': ' The small to medium sized run-of-river hydropower projects the fund targets for investment will typically not be category A E&S risk projects. However, as it cannot be fully ruled out that such projects are targeted, FMO has precautionarily classified the fund as a category-A E&S risk fund.  The environmental & social management system of the fund, which is already generally adequate, will be further improved and amended, as will the environmental and social management capacity. To this end, FMO will support this process with technical assistance and capacity building, together with its co-investors. This will involve the engagement of qualified experts to coach the team and to enhance environmental studies, community engagement and environmental, health & safety and labour conditions management. We judge our investment in the fund to be an important contribution towards improving the quality of environmental & social management by Georgian project developers of small hydropower projects to the level of international standards. An environmental & social action plan (ESAP) will be part of the legal agreement.'};Energy;CAUCASUS CLEAN ENERGY I PF, L.P.;;;;
INR 300.00 MLN;;India;12/15/2017;"{'Who is our client': ' Lendingkart Finance Limited is a non-deposit taking NBFC providing SME lending in India. Lendingkart uses technology and analytics tools, analyzing thousands of data points from various data sources to assess the creditworthiness of small businesses.', 'Funding objective': ' Lendingkart will use the funding from FMO to grow the Company’s micro, small and medium enterprises lending portfolio.', 'Why we fund this project': ' The loan to Lendingkart achieves FMO\'s goals of providing access to finance.  Traditional bank underwriting excludes a large portion of creditworthy SME borrowers because they do not have reliable financial statements, a credit history (""thin file"" customers), equipment or similar assets that can be provided as security for a bank loan. Lendingkart assesses creditworthiness based on bank statements and creates a financial statement from cash-flows through the bank account.', 'Environmental and social rationale': ' Lendingkart follows good consumer protection practices and as a lender to small and medium merchants, does not pose a high environmental risk.'}";Financial Institutions;LENDINGKART FINANCE LIMITED;;;;
EUR 10.00 MLN;;Turkey;12/15/2017;"{'Who is our client': ' Peyman is one of the largest producers of dried fruits, nuts and seeds in Turkey. Peyman has a strong brand name image.', 'Funding objective': "" The loan will finance Peyman Kuruyemis's investment in a new factory as the company is expanding into new markets."", 'Why we fund this project': ' The impact of this project is expected to be primarily derived from market expansion through backward linkages to local farmers and transfer and dispersion of skills.', 'Environmental and social rationale': ' Categorized B+. FMO’s preliminary environmental and social due diligence indicates that the investment will have impacts which must be managed in a manner consistent with the following Performance Standards:  - PS 1: Assessment and Management of Environmental and Social Risks and Impacts";;;;;;
